# Sensor Masthugget, Majorna-Linné, Sweden (Citizen Science project sensor.community/13439)
# https://aqicn.org/station/@60853/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-28T00:00:00.000Z,0.2,2.02,0.75,0.5,1.14,0.42,190
2020-03-29T00:00:00.000Z,0.1,2.02,0.4,0.26,0.55,0.227,374
2020-03-30T00:00:00.000Z,0.2,1.77,0.9,0.46,1.3,0.457,141
2020-03-31T00:00:00.000Z,0.43,5.58,1.5,1.21,1.94,0.802,330
2020-04-01T00:00:00.000Z,0.45,4.38,2.24,1.33,2.74,0.905,219
2020-04-02T00:00:00.000Z,1.21,4.48,2.72,2.2,3.28,0.674,463
2020-04-03T00:00:00.000Z,0.2,2.17,0.85,0.62,1.07,0.348,495
2020-04-04T00:00:00.000Z,0.3,6.48,0.98,0.67,1.59,1.409,543
2020-04-05T00:00:00.000Z,0.65,20.1,4.3,1.44,7.71,3.766,537
2020-04-06T00:00:00.000Z,1.06,12.14,5.51,3.32,7.28,2.843,514
2020-04-07T00:00:00.000Z,1.18,22.67,2,1.67,6.04,5.726,463
2020-04-08T00:00:00.000Z,1.15,6.33,2.95,2.15,3.55,0.868,495
2020-04-09T00:00:00.000Z,0.14,4.7,0.85,0.48,1.35,1.114,474
2020-04-10T00:00:00.000Z,0.37,3.84,0.8,0.61,1.78,0.798,532
2020-04-11T00:00:00.000Z,1.06,9.68,5.92,1.97,7.17,2.384,152
2020-04-12T00:00:00.000Z,0.4,17.94,4.34,2.5,10.62,4.641,577
2020-04-13T00:00:00.000Z,0,1.85,0.28,0.16,0.4,0.192,578
2020-04-14T00:00:00.000Z,0.05,4.37,0.52,0.3,1.1,1.065,557
2020-04-15T00:00:00.000Z,1.28,4.34,2.5,2.02,2.99,0.595,516
2020-04-16T00:00:00.000Z,0.38,4.07,1.2,0.69,1.92,0.871,509
2020-04-17T00:00:00.000Z,0.05,333.12,0.72,0.4,0.98,19.838,561
2020-04-18T00:00:00.000Z,0.22,34.97,0.7,0.55,1.76,2.633,575
2020-04-19T00:00:00.000Z,0.14,5.35,0.48,0.3,1.25,0.732,557
2020-04-20T00:00:00.000Z,0.33,687.25,0.82,0.62,1.32,39.824,507
2020-04-21T00:00:00.000Z,0.25,1.96,0.65,0.5,0.84,0.294,380
2020-04-22T00:00:00.000Z,0.2,4.05,0.94,0.6,1.36,0.813,416
2020-04-23T00:00:00.000Z,0.4,5.92,1.32,0.85,2.37,0.931,472
2020-04-24T00:00:00.000Z,0,30.52,0.92,0.35,2.75,2.667,535
2020-04-25T00:00:00.000Z,0,1.05,0.28,0.15,0.4,0.19,501
2020-04-26T00:00:00.000Z,0.48,10.4,2.19,1.52,4.4,2.263,547
2020-04-27T00:00:00.000Z,1.3,12.9,3.22,2.7,4.13,1.257,522
2020-04-28T00:00:00.000Z,0.2,28.2,0.8,0.68,1,2.757,401
2020-04-29T00:00:00.000Z,0.35,3.98,0.85,0.62,1.1,0.368,508
2020-04-30T00:00:00.000Z,0.46,9.36,1.31,0.84,2.66,1.297,531
2020-05-01T00:00:00.000Z,0.82,7.83,3.36,2,5.36,1.92,545
2020-05-02T00:00:00.000Z,0.95,6.62,2.65,2.04,3.26,1.254,530
2020-05-03T00:00:00.000Z,0.15,10.64,1.3,0.67,2.5,2.963,569
2020-05-04T00:00:00.000Z,0.05,9.32,0.4,0.25,1.09,0.871,523
2020-05-05T00:00:00.000Z,0.1,48.55,0.35,0.28,0.5,3.833,488
2020-05-06T00:00:00.000Z,0.5,503.74,1.28,1,1.92,42.369,557
2020-05-07T00:00:00.000Z,0.35,3.95,1.34,1,2.5,0.827,382
2020-05-08T00:00:00.000Z,2.42,25.56,4.3,3.26,5.55,1.946,343
2020-05-09T00:00:00.000Z,0.3,8.5,1.1,0.8,1.92,1.986,341
2020-05-10T00:00:00.000Z,0.1,17.85,6.18,4.36,7.45,4.11,241
2020-05-11T00:00:00.000Z,0,1.68,0.3,0.2,0.4,0.207,343
2020-05-12T00:00:00.000Z,0.1,2.24,0.46,0.3,0.7,0.328,472
2020-05-13T00:00:00.000Z,0.05,3.04,0.3,0.22,0.5,0.372,461
2020-05-14T00:00:00.000Z,0.25,3.56,1.06,0.55,1.36,0.491,457
2020-05-15T00:00:00.000Z,0.36,2.82,1.2,0.86,1.6,0.478,516
2020-05-16T00:00:00.000Z,0.5,2.83,1.48,1.02,1.9,0.505,331
2020-05-17T00:00:00.000Z,1.05,3.35,1.86,1.64,2.15,0.39,533
2020-05-18T00:00:00.000Z,0.18,1.52,0.78,0.6,0.97,0.252,452
2020-05-19T00:00:00.000Z,0.16,3.66,0.83,0.51,1.18,0.45,533
2020-05-20T00:00:00.000Z,0.18,5.05,1.14,0.59,1.57,0.961,540
2020-05-21T00:00:00.000Z,0.24,4.48,0.92,0.65,1.25,0.531,502
2020-05-22T00:00:00.000Z,0.45,4.67,1.09,0.84,1.54,0.517,535
2020-05-23T00:00:00.000Z,1.17,13.65,4.09,2.8,6.09,2.598,509
2020-05-24T00:00:00.000Z,0.87,6.4,2.7,2.23,3.4,0.931,527
